date,day,fragment_ID,Species,Category,Sample_ID,Sal,position,Sample_volume,time,notes
20220125,1,Test,Test,NA,Test,36.1,NA,50,10:10,
20220125,1,Reference1,Ref,NA,Ref1,36.1,NA,50,10:19,
20220125,1,Reference2,Ref,NA,Ref2,36.1,NA,50,10:30,
20220125,1,Start1,Start,NA,Start1,36.1,NA,50,10:39,
20220125,1,Start2,Start,NA,Start2,36.1,NA,50,10:49,Water drop on scale
20220125,1,Mdi_A1_M,Mdi,M,Xdi_A1_X,36.1,A2,50,12:48,M from Mono is X
20220125,1,Pru_A2_M,Pru,M,Pru_A2_X,36.1,A3,50.01,13:01,
20220125,1,Pve_B1_M,Pve,M,Pve_B1_X,36.1,B1,50,13:14,
20220125,1,Spi_A1_P,Spi,P,Spi_A1_P,36.1,B2,50,13:25,
20220125,1,Amu_A2_P,Amu,P,Axu_A2_P,36.1,C1,50.01,13:37,
20220125,1,Mdi_B1_P,Mdi,P,Xdi_B1_P,36.1,C2,50,13:47,
20220125,1,Spi_B2_M,Spi,M,Spi_B2_X,36.1,A5,50.01,13:57,
20220125,1,Amu_C1_M,Amu,M,Axu_C1_X,36.1,A6,50,14:07,
20220125,1,Mdi_C2_M,Mdi,M,Xdi_C2_X,36.1,B4,50,14:18,
20220125,1,Contr,Con,Con,ContrA,36.1,B5,50,14:30,
20220125,1,Pru_B2_P,Pru,P,Pru_B2_P,36.1,C6,50,14:41,
20220125,1,Pve_C1_P,Pve,P,Pve_C1_P,36.1,A8,49.99,14:52,
20220125,1,Spi_C2_P,Spi,P,Spi_C2_P,36.1,A9,50.01,15:03,
20220125,1,Pru_D1_M,Pru,M,Pru_D1_X,36.1,B7,50.01,15:14,
20220125,1,Pve_D2_M,Pve,M,Pve_D2_X,36.1,B8,50,15:25,
20220125,1,Amu_D1_P,Amu,P,Axu_D1_P,36.1,B9,50,15:37,
20220125,1,Mdi_D2_P,Mdi,P,Xdi_D2_P,36.1,C7,49.99,15:48,
20220125,1,Contr,Con,Con,ContrB,36.1,C8,49.99,15:59,
20220125,1,Reference3,Ref,NA,Ref3,36.1,NA,50.01,16:09,
20220125,1,Reference4,Ref,NA,Ref4,36.1,NA,49.99,16:21,
20220126,2,Test,Test,NA,Test,36.7,NA,50,10:30,
20220126,2,Reference1,Ref,NA,Ref1,36.7,NA,50,10:41,
20220126,2,Reference2,Ref,NA,Ref2,36.7,NA,50,10:51,
20220126,2,Start1,Start,NA,Start1,36.7,NA,50.01,11:03,
20220126,2,Start2,Start,NA,Start2,36.7,NA,49.99,11:15,
20220126,2,Amu_C2_P,Amu,P,Axu_C2_P,36.7,A2,50,12:18,
20220126,2,Mdi_D1_P,Mdi,P,Xdi_D1_P,36.7,A3,50,12:31,
20220126,2,Pru_D2_P,Pru,P,Pru_D2_P,36.7,B1,50,12:43,
20220126,2,Pru_C2_M,Pru,M,Pru_C2_X,36.7,B2,50.01,12:56,
20220126,2,Pve_D1_M,Pve,M,Pve_D1_X,36.7,C1,50,13:10,Probe erneut in Spritze aufgezogen
20220126,2,Spi_D2_M,Spi,M,Spi_D2_X,36.7,C2,50,13:22,
20220126,2,Contr,Con,Con,ContrA,36.7,A5,50.01,13:32,
20220126,2,Pru_A1_M,Pru,M,Pru_A1_X,36.7,A6,49.99,13:45,
20220126,2,Pve_A2_M,Pve,M,Pve_A2_X,36.7,B4,50,13:58,
20220126,2,Spi_B1_M,Spi,M,Spi_B1_X,36.7,B5,50,14:11,
20220126,2,Amu_A1_P,Amu,P,Axu_A1_P,36.7,C6,49.99,14:24,
20220126,2,Mdi_A2_P,Mdi,P,Xdi_A2_P,36.7,A8,49.99,14:37,
20220126,2,Pru_B1_P,Pru,P,Pru_B1_P,36.7,A9,49.99,14:51,in Becherglas kein Meerwasser beim Reinigungsstep
20220126,2,Amu_B2_M,Amu,M,Axu_B2_X,36.7,B7,50,15:05,
20220126,2,Mdi_C1_M,Mdi,M,Xdi_C1_X,36.7,B8,50.01,15:18,
20220126,2,Pve_B2_P,Pve,P,Pve_B2_P,36.7,B9,49.99,15:30,
20220126,2,Spi_C1_P,Spi,P,Spi_C1_P,36.7,C7,49.99,15:44,
20220126,2,Contr,Con,Con,ContrB,36.7,C8,49.99,15:56,
20220126,2,Reference3,Ref,NA,Ref3,36.7,NA,50,16:07,
20220126,2,Reference4,Ref,NA,Ref4,36.7,NA,50,16:19,
20220127,3,Test,Test,NA,Test,36.8,NA,50.01,10:26,
20220127,3,Reference1,Ref,NA,Ref1,36.8,NA,50,10:36,
20220127,3,Reference2,Ref,NA,Ref2,36.8,NA,49.99,10:47,
20220127,3,Start1,Start,NA,Start1,36.8,NA,49.99,11:00,
20220127,3,Start2,Start,NA,Start2,36.8,NA,50,11:12,
20220127,3,Contr,Con,Con,ContrA,36.8,A2,49.99,11:57,
20220127,3,Amu_C1_P,Amu,P,Axu_C1_P,36.8,A3,50.01,12:09,
20220127,3,Mdi_C2_P,Mdi,P,Xdi_C2_P,36.8,B1,50,12:21,
20220127,3,Pru_D1_P,Pru,P,Pru_D1_P,36.8,B2,50.01,12:35,
20220127,3,Pve_D2_P,Pve,P,Pve_D2_P,36.8,C1,50.01,12:47,
20220127,3,Amu_B1_M,Amu,M,Axu_B1_X,36.8,C2,50,13:00,
20220127,3,Mdi_B2_M,Mdi,M,Xdi_B2_X,36.8,A5,50,13:12,
20220127,3,Pru_C1_M,Pru,M,Pru_C1_X,36.8,A6,50.01,13:25,
20220127,3,Mdi_A1_P,Mdi,P,Xdi_A1_P,36.8,B4,50,13:36,
20220127,3,Pru_A2_P,Pru,P,Pru_A2_P,36.8,B5,50,13:49,
20220127,3,Pve_B1_P,Pve,P,Pve_B1_P,36.8,C6,50.01,14:01,
20220127,3,Pve_A1_M,Pve,M,Pve_A1_X,36.8,A8,50,14:13,
20220127,3,Spi_A2_M,Spi,M,Spi_A2_X,36.8,A9,49.99,14:25,
20220127,3,Spi_B2_P,Spi,P,Spi_B2_P,36.8,B7,50.01,14:38,
20220127,3,Pve_C2_M,Pve,M,Pve_C2_X,36.8,B8,50.01,14:51,
20220127,3,Spi_D1_M,Spi,M,Spi_D1_X,36.8,B9,50.01,15:03,Becherglas vorher nicht mit Meerwasser befuellt
20220127,3,Amu_D2_M,Amu,M,Axu_D2_X,36.8,C7,50,15:16,
20220127,3,Contr,Con,Con,ContrB,36.8,C8,50,15:28,
20220127,3,Reference3,Ref,NA,Ref3,36.8,NA,50,15:38,
20220127,3,Reference4,Ref,NA,Ref4,36.8,NA,50.01,15:49,
20220128,4,Test,Test,NA,Test,36.9,NA,50,10:34,
20220128,4,Reference1,Ref,NA,Ref1,36.9,NA,49.99,10:43,
20220128,4,Reference2,Ref,NA,Ref2,36.9,NA,50,10:54,
20220128,4,Start1,Start,NA,Start1,36.9,NA,49.99,11:07,
20220128,4,Start2,Start,NA,Start2,36.9,NA,49.99,11:19,
20220128,4,Mdi_B1_M,Mdi,M,Xdi_B1_X,36.9,A2,50,11:58,
20220128,4,Pru_B2_M,Pru,M,Pru_B2_X,36.9,A3,50.01,12:11,
20220128,4,Pve_C1_M,Pve,M,Pve_C1_X,36.9,B1,50.01,12:23,
20220128,4,Pru_A1_P,Pru,P,Pru_A1_P,36.9,B2,50,12:37,
20220128,4,Pve_A2_P,Pve,P,Pve_A2_P,36.9,C1,50,12:48,
20220128,4,Spi_B1_P,Spi,P,Spi_B1_P,36.9,C2,50,13:02,Fehlermeldung nach Beedigung
20220128,4,Amu_B2_P,Amu,P,Axu_B2_P,36.9,A5,50,13:14,
20220128,4,Spi_A1_M,Spi,M,Spi_A1_X,36.9,A6,50,13:29,
20220128,4,Amu_A2_M,Amu,M,Axu_A2_X,36.9,B4,50,13:41,
20220128,4,Mdi_C1_P,Mdi,P,Xdi_C1_P,36.9,B5,49.99,13:53,
20220128,4,Pru_C2_P,Pru,P,Pru_C2_P,36.9,C6,50,14:06,
20220128,4,Pve_D1_P,Pve,P,Pve_D1_P,36.9,A8,50,14:19,
20220128,4,Spi_D2_P,Spi,P,Spi_D2_P,36.9,A9,49.99,14:30,
20220128,4,Contr,Con,Con,ContrA,36.9,B7,50,14:42,
20220128,4,Spi_C2_M,Spi,M,Spi_C2_X,36.9,B8,50,14:53,
20220128,4,Amu_D1_M,Amu,M,Axu_D1_X,36.9,B9,49.99,15:06,
20220128,4,Mdi_D2_M,Mdi,M,Xdi_D2_X,36.9,C7,50.01,15:18,
20220128,4,Contr,Con,Con,ContrB,36.9,C8,50,15:31,
20220128,4,Reference3,Ref,NA,Ref3,36.9,NA,50,15:43,
20220128,4,Reference4,Ref,NA,Ref4,36.9,NA,50,15:53,Tropfen auf der Waage - sample volume evtl. Ungenau
20220131,5,Test,Test,NA,Test,37,NA,50,10:35,
20220131,5,Reference1,Ref,NA,Ref1,37,NA,49.99,10:47,
20220131,5,Reference2,Ref,NA,Ref2,37,NA,50,11:01,
20220131,5,Start1,Start,NA,Start1,37,NA,50.01,11:15,
20220131,5,Start2,Start,NA,Start2,37,NA,49.99,11:28,
20220131,5,Mdi_D1_M,Mdi,M,Xdi_D1_X,37,A2,50.01,11:51,
20220131,5,Pru_D2_M,Pru,M,Pru_D2_X,37,A3,50,12:06,
20220131,5,Pve_A1_P,Pve,P,Pve_A1_P,37,B1,50.01,12:20,
20220131,5,Spi_A2_P,Spi,P,Spi_A2_P,37,B2,50,12:33,
20220131,5,Contr,Con,Con,ContrA,37,C1,50.01,12:46,
20220131,5,Amu_B1_P,Amu,P,Axu_B1_P,37,C2,50.01,13:00,
20220131,5,Mdi_B2_P,Mdi,P,Xdi_B2_P,37,A5,50.01,13:15,
20220131,5,Pru_C1_P,Pru,P,Pru_C1_P,37,A6,50,13:28,
20220131,5,Amu_A1_M,Amu,M,Axu_A1_X,37,B4,50,13:42,
20220131,5,Mdi_A2_M,Mdi,M,Xdi_A2_X,37,B5,49.99,13:55,
20220131,5,Pru_B1_M,Pru,M,Pru_B1_X,37,C6,49.99,14:09,
20220131,5,Pve_B2_M,Pve,M,Pve_B2_X,37,A8,49.99,14:23,
20220131,5,Pve_C2_P,Pve,P,Pve_C2_P,37,A9,50.01,14:36,
20220131,5,Spi_D1_P,Spi,P,Spi_D1_P,37,B7,50.01,14:49,
20220131,5,Amu_D2_P,Amu,P,Axu_D2_P,37,B8,50,15:03,
20220131,5,Spi_C1_M,Spi,M,Spi_C1_X,37,B9,50,15:16,
20220131,5,Amu_C2_M,Amu,M,Axu_C2_X,37,C7,50,15:28,
20220131,5,Contr,Con,Con,ContrB,37,C8,50,15:41,
20220131,5,Reference3,Ref,NA,Ref3,37,NA,50.01,15:54,
20220131,5,Reference4,Ref,NA,Ref4,37,NA,50.01,16:07,
